АЙДАУ	O
Ауыр	B-ORG
атлетикадан	I-ORG
әлем	I-ORG
чемпионаты	I-ORG
2013	I-ORG

``	O
Қазақфильм	B-ORG
''	O
киностудиясы	O
шығарған	O
.	O

ҚР	B-ORG
Сыртқы	I-ORG
істер	I-ORG
министрлігі	I-ORG

'	O
''	O
Ербаш	O
''	O
'	O
—	O
Ресейдегі	B-LOC
өзен	O
.	O

Даг	B-PER
Хаммаршельд	I-PER
(	O
посмертно	O
)	O

Қарағанды	B-LOC
облысы	I-LOC
Қарқаралы	B-ORG
қаласынан	O
оңтүстік-батысқа	O
қарай	O
75	O
—	O
80	O
км	O
жерде	O
.	O

Ханшайым	B-PER
Диана	I-PER
балаларының	O
оқшауланып	O
білім	O
алғанын	O
қаламады	O
,	O
керісінше	O
мектепте	O
өздерімен	O
қатарлас	O
достарымен	O
оқығанын	O
құптады	O
.	O

Нефтчи	B-ORG
(	I-ORG
Баку	I-ORG
)	I-ORG

'	O
''	O
Близнаци	O
''	O
'	O
(	O
)	O
—	O
Болгариядағы	B-LOC
ауыл	O
.	O

*Күш	O
пен	O
Билік	O
,	O
Зевстің	B-PER
малайлары	O
.	O

Атлантикалық	B-LOC
Пиреней	I-LOC
департаментінің	I-LOC
коммуналары	I-LOC

Өлшем	B-ORG
бірліктерінің	I-ORG
халықаралық	I-ORG
жүйесі	I-ORG

Жак	B-PER
Дерриданың	I-PER
деконструкция	O
ілімі	O
;	O

'	O
''	O
Тұпрақ	O
қамалы	O
''	O
'	O
—	O
Хорезмшахтар	B-ORG
дәуірінде	O
салынған	O
қамал	O
.	O

'	O
''	O
Лёк-Везъю	O
''	O
'	O
—	O
Ресейдегі	B-LOC
өзен	O
.	O

АЙДАУ	O
Екур	B-LOC
(	I-LOC
Эр	I-LOC
)	I-LOC

'	O
''	O
Лавесьер	O
''	O
'	O
(	O
)	O
—	O
Франциядағы	B-LOC
коммуна	O
.	O

Бурят	B-LOC
Автономиялы	I-LOC
Советтік	I-LOC
Социалистік	I-LOC
Республикасы	I-LOC

АЙДАУ	O
Муслим	B-PER
ибн	I-PER
әл-Хәджадж	I-PER

Ағасы	O
-	O
Джейден	B-PER
Смит	I-PER
.	O

[[Елбасы	O
Нұрсұлтан	B-PER
Әбішұлы	I-PER
Назарбаевтың	I-PER
«Тіл»	O
журналына	O
жазған	O
хаты	O
]]	O

Біріккен	B-ORG
Ұлттар	I-ORG
Ұйымының	I-ORG
жарғысы	O
бойынша	O
күшпен	O
қорқытуға	O
тыйым	O
салынған	O
,	O
сондықтан	O
демарш	O
болмауға	O
тиісті	O
.	O

Диршайд	B-LOC
(	O
158	O
)	O

Мұхаммед	B-PER
Әли	I-PER
(	O
2	O
)	O

1996-2005	O
жылдар	O
аралығында	O
Эми	B-PER
Ирвингтің	I-PER
күйеуі	O
болған	O
.	O

Қызылорда	B-LOC
облысы	I-LOC
Шиелі	B-LOC
ауданы	I-LOC
жерімен	O
ағады	O
.	O

'	O
''	O
Тебеняк	O
''	O
'	O
—	O
Ресейдегі	B-LOC
өзен	O
.	O

АЙДАУ	O
Александр	B-PER
Александрович	I-PER
Кокорин	I-PER

Иль	B-LOC
және	I-LOC
Вилен	I-LOC
департаментінің	I-LOC
коммуналары	I-LOC

Муһаммад	B-PER
Тақи	I-PER
Усмани	I-PER

Қазіргі	O
уақытта	O
—	O
Колумбия	B-ORG
университетінің	I-ORG
бизнес-журналистика	O
профессоры	O
.	O

Аристотель	B-PER
Үйлесімділікті	O
музыкалық	O
үндестік	O
тұрғысынан	O
пайымдап	O
,	O
осы	O
негізде	O
Үйлесімділік	O
—	O
бүтіннің	O
біртұтастығы	O
,	O
толықтығы	O
және	O
ол	O
бүкіл	O
дүниеге	O
тән	O
деп	O
білді	O
.	O

Саяси	O
қайраткер	O
ретіндегі	O
идеалы	O
-	O
Абылай	B-PER
хан	I-PER
.	O

Әмір	B-PER
Темір	I-PER
билік	O
құрған	O
кезеңде	O
құйылған	O
бірқатар	O
бұйымдардың	O
бас	O
ұстасы	O
.	O

'	O
''	O
SOCEMIE	O
''	O
'	O
(	O
'	O
''	O
'	O
''	O
)	O
—	O
Euronews	B-ORG
арнасын	O
хабарлайтын	O
серіктес	O
.	O

АЙДАУ	O
Парагвай	B-ORG
Ұлттық	I-ORG
футбол	I-ORG
құрама	I-ORG
командасы	I-ORG

Осы	O
жол	O
арқылы	O
Еуразия	B-LOC
құрлығының	O
ішкі	O
бөліктеріне	O
саяхат	O
жасаған	O
саяхатшы	O
Марко	B-PER
Поло	I-PER
өткен	O
.	O

Егемен	B-ORG
Қазақстан	I-ORG
(	I-ORG
газет	I-ORG
)	I-ORG

Алғашқы	O
турдағы	O
Портуға	B-ORG
қарсы	O
ойында	O
,	O
қосалқы	O
ойыншылар	O
қатарында	O
отырды	O
.	O

Micron	B-ORG
Technology	I-ORG
(	O
2	O
)	O

Әмір	B-PER
Темірдің	I-PER
,	O
Тоқтамыстың	O
жорықтарын	O
баяндайтын	O
шығармаларда	O
''“сүрен	O
салу”	O
''	O
деген	O
бар	O
.	O

Рауль	B-PER
Гонсалес	I-PER
(	O
44	O
)	O
Давид	B-PER
Вилья	I-PER
(	O
44	O
)	O

3	O
аптадан	O
кейін	O
Гросс-Големкаға	O
шаруалардан	O
құралған	O
Қызыл	B-ORG
әскер	I-ORG
басып	O
кіреді	O
.	O

Кіші	B-ORG
жүз	I-ORG
ханы	O
ретінде	O
оның	O
саясатында	O
сатқындық	O
пен	O
екіжүзділік	O
көп	O
.	O

Ахмади-мұсылмандары	O
Палестина	B-ORG
жерлеріндеде	O
тоқтаусыз	O
қудалаушылықтарға	O
ұшырауда	O
.	O

АЙДАУ	O
Аман	B-PER
Ғұмырұлы	I-PER
Төлеев	I-PER

'	O
''	O
Бёллем	O
''	O
'	O
—	O
Ресейдегі	B-LOC
өзен	O
.	O

АЙДАУ	O
Михаил	B-PER
Васильевич	I-PER
Фрунзе	I-PER

ҚАЗАҚСТАН	B-ORG
ҰЛТТЫҚ	I-ORG
БАНКІ	I-ORG
''	O
деген	O
жазу	O
сол	O
жақта	O
тігінен	O
жоғары	O
қарай	O
орналасқан	O
.	O

Iss	O
Pyaar	O
Ko	O
Kya	O
Naam	O
Doon	O
?	O
/	O
Мұздан	B-ORG
суық	I-ORG
,	I-ORG
оттан	I-ORG
ыстық	I-ORG

Волфганг	B-PER
Амадей	I-PER
Моцарт	I-PER

'	O
''	O
Dan	O
Bălan	O
''	O
''s	O
official	O
page	O
at	O
Twitter	B-ORG
website	O

АЙДАУ	O
Александр	B-PER
Николаевич	I-PER
Винокуров	I-PER

Әзірбайжандардың	B-ORG
сәнді	O
костюмы	O
ғасырлар	O
бойы	O
ерекше	O
өзгере	O
қойған	O
жоқ	O
.	O

2013	B-ORG
жылдың	I-ORG
Eurovision	I-ORG
ән	I-ORG
байқауында	I-ORG
Украинанын	O
өкілі	O
.	O

Штормарн	B-ORG
ауданының	O
құрамына	O
енеді	O
.	O

Компанияның	O
штаб-пәтері	O
Буэнос-Айресте	B-LOC
(	O
Аргентина	B-LOC
)	O
орналасқан	O
.	O

'	O
''	O
Хемницер-Ланд	O
''	O
'	O
(	O
)	O
—	O
Германия	B-LOC
ауданы	B-LOC
.	O

Тунистің	B-LOC
,	O
Марокконың	B-LOC
,	O
Мавританияның	B-LOC

'	O
''	O
Төрағасы	O
''	O
'	O
—	O
Әлихан	B-PER
Бөкейханов	I-PER
.	O

Бұл	O
облыс	O
еңбекшілерінің	O
,	O
әсіресе	O
Жаркент	B-LOC
пен	O
Лепсіде	O
Совет	O
өкіметін	O
орнату	O
жолындағы	O
күрес	O
та-рихын	O
,	O
соң	O
.	O

Бұдан	O
Абайдың	B-PER
шағын	O
поэма	O
жасауға	O
шеберлігі	O
танылады	O
.	O

Атлантикалық	B-LOC
Пиреней	I-LOC
департаментінің	I-LOC
коммуналары	I-LOC

'	O
''	O
Сенная	O
''	O
'	O
—	O
Ресейдегі	B-LOC
өзен	O
.	O

'	O
''	O
Бламон	O
''	O
'	O
(	O
)	O
—	O
Франциядағы	B-LOC
коммуна	O
.	O

Сәрсен	B-PER
Аманжолұлы	I-PER
Аманжолов	I-PER

Алғашқы	O
жазғы	B-ORG
жасөпірімдер	I-ORG
Олимпиада	I-ORG
ойындары	I-ORG
2010	I-ORG
жылы	I-ORG
Сингапур	B-LOC
қаласында	O
өтті	O
,	O
ал	O
қысқы	B-ORG
2012	I-ORG
жылы	I-ORG
австриялық	I-ORG
Инсбрукте	I-ORG
.	O

1889-1922	O
және	O
1939-1992	O
жылдары	O
қала	O
Н.М.	B-PER
Пржевальскийдің	I-PER
есімін	O
алып	O
жүрген	O
.	O

'	O
''	O
Гургулят	O
''	O
'	O
(	O
)	O
—	O
Болгариядағы	B-LOC
ауыл	O
.	O

★	O
'	O
''	O
Джон	B-PER
Уэйн	I-PER

Дүниежүзi	B-ORG
ұйғырларының	I-ORG
құрылтайы	I-ORG

АЙДАУ	O
КСРО	B-ORG
ішкі	I-ORG
істер	I-ORG
халық	I-ORG
комиссариаты	I-ORG

Вильзеккер	B-LOC
(	O
197	O
)	O

Теңдеу	O
Пуассонның	B-PER
адиабатты	O
теңдеуі	O
деп	O
аталады	O
.	O

Гомер	B-PER
поэмаларында	O
бүкіл	O
гректерді	O
Ахейліктер	O
деп	O
атаған	O
.	O

Саяси	O
қайраткер	O
ретіндегі	O
идеалы	O
-	O
Н.Ә.	B-PER
Назарбаев	I-PER
.	O

'	O
''	O
Иматка	O
''	O
'	O
—	O
Ресейдегі	B-LOC
өзен	O
.	O

Depeche	B-ORG
Mode-тағы	I-ORG
шығармашылығынан	O
бөлек	O
,	O
жеке	O
музыкалық	O
мансабымен	O
де	O
айналысады	O
.	O

АЙДАУ	O
Сағид	B-PER
ибн	I-PER
Зәйд	I-PER

'	O
''	O
Ильнау-Эффретикон	O
''	O
'	O
(	O
)	O
—	O
Швейцарияның	B-LOC
Цюрих	B-LOC
кантонында	O
орналасқан	O
қала	O
.	O

Арока	B-ORG
муниципалитетінің	O
құрамдас	O
бөлігі	O
болып	O
табылады	O
.	O

Оның	O
ішкі	O
ауласында	O
Қағба	B-ORG
бар	O
.	O

Пол	B-PER
(	I-PER
Пал	I-PER
)	I-PER
Эрдёш	I-PER
—	O
атақты	O
математик	O

АЙДАУ	O
Катюша	B-ORG
(	I-ORG
велокоманда	I-ORG
)	I-ORG

'	O
''	O
Б	B-ORG
б	O
''	O
'	O

АЙДАУ	O
Күнес	B-ORG
(	I-ORG
аудан	I-ORG
)	I-ORG

Ұлттар	B-ORG
Лигасының	I-ORG
алдында	O
қызметінің	O
құрметіне»	O
.	O

Ганновер	B-LOC
ауданының	O
құрамына	O
енеді	O
.	O

Бонифатий	B-PER
Михайлович	I-PER
Кедров	I-PER

Бұл	O
ұрыста	O
Ермак	B-PER
көп	O
шығынға	O
ұшырады	O
(	O
1060	O
адамы	O
ғана	O
қалды	O
)	O
.	O

Саяси	O
қайраткер	O
ретіндегі	O
идеалы	O
-	O
Н.Ә.	B-PER
Назарбаев	I-PER
.	O

Хафельланд	B-LOC
ауданының	O
құрамына	O
енеді	O
.	O

'	O
''	O
Дуплинастая	O
''	O
'	O
—	O
Ресейдегі	B-LOC
өзен	O
.	O

Орталығы	O
–	O
Үргеніш	B-LOC
қаласы	O
.	O

Ли	B-PER
Мён	I-PER
Бак	I-PER

АЙДАУ	O
Star	B-ORG
Trek	I-ORG
:	I-ORG
Enterprise	I-ORG

АЙДАУ	O
Рейнбоу	B-ORG
көпірі	I-ORG
(	I-ORG
Техас	I-ORG
)	I-ORG

Мұндай	O
жора	O
Алтын	B-ORG
Орда	I-ORG
мемлекеті	I-ORG
дәуіріне	O
дейін	O
де	O
жалғасын	O
тапқан	O
.	O

АЙДАУ	O
