اولین	ADJ
سیاره	NOUN
خارج	ADP
از	ADP
منظومه	NOUN
شمسی	ADJ
دیده	VERB
شد	VERB
.	PUNCT

واشنگتن	NOUN
-	PUNCT
خبرگزاری	NOUN
جمهوری	NOUN
اسلامی	ADJ

ستارهشناسان	NOUN
میگویند	VERB
که	SCONJ
ممکن	ADJ
است	AUX
اولین	ADJ
سیاره	NOUN
خارج	ADP
از	ADP
منظومه	NOUN
شمسی	ADJ
را	PART
دیده	VERB
باشند	VERB
.	PUNCT

طی	ADP
سالهای	NOUN
اخیر	ADJ
،	PUNCT
بیش	ADJ
از	ADP
دو	NUM
دوجین	NOUN
سیاره	NOUN
در	ADP
مدار	NOUN
اطراف	NOUN
ستارهها	NOUN
کشف	NOUN
شدهاند	AUX
.	PUNCT

لیکن	CCONJ
ستارهشناسان	NOUN
هرگز	ADV
این	DET
سیارهها	NOUN
را	PART
واقعاً	ADV
ندیده	VERB
بودند	VERB
و	CCONJ
فقط	ADV
از	ADP
طریق	NOUN
شواهد	NOUN
،	PUNCT
لرزشها	NOUN
و	CCONJ
اثراتی	NOUN
که	SCONJ
آنان	PRON
بر	ADP
اجرام	NOUN
اطراف	NOUN
خود	PRON
میگذاشتند	VERB
،	PUNCT
موفق	ADJ
به	ADP
ثبت	NOUN
این	DET
سیارات	NOUN
شده	AUX
بودند	VERB
.	PUNCT

چنین	ADV
تصور	NOUN
میشد	AUX
که	SCONJ
این	DET
لرزش	NOUN
به	ADP
علت	NOUN
جاذبه	NOUN
سیارهای	NOUN
در	ADP
مدار	NOUN
بوده	VERB
است	VERB
.	PUNCT

در	ADP
آخرین	ADJ
تحقیق	NOUN
به	ADP
عمل	NOUN
آمده	ADJ
نیز	SCONJ
ستارهشناسان	NOUN
هنوز	ADV
واقعاً	ADV
موفق	ADJ
به	ADP
رویت	NOUN
مستقیم	ADJ
سیاره	NOUN
نشدهاند	AUX
،	PUNCT
بلکه	CCONJ
درخشش	NOUN
ستارهای	NOUN
را	PART
دیدهاند	VERB
که	SCONJ
به	ADP
اعتقاد	NOUN
آنها	PRON
توسط	ADP
یک	NUM
سیاره	NOUN
منعکس	ADJ
شده	AUX
است	VERB
.	PUNCT

بنا	ADP
بر	ADP
این	DET
گزارش	NOUN
،	PUNCT
درخشش	NOUN
کورکننده	ADJ
این	DET
سیاره	NOUN
،	PUNCT
دیدن	NOUN
آن	PRON
را	PART
نامحتمل	ADJ
میکند	VERB
.	PUNCT

چنانچه	SCONJ
این	DET
پژوهشگران	NOUN
درست	ADJ
حدس	NOUN
زده	VERB
باشند	VERB
،	PUNCT
یافتههای	NOUN
آنها	PRON
میتواند	VERB
برای	ADP
تشخیص	NOUN
حجم	NOUN
و	CCONJ
ضخامت	NOUN
دقیق	ADJ
سیاره	NOUN
مزبور	ADJ
مورد	ADP
استفاده	NOUN
قرار	NOUN
گیرد	VERB
.	PUNCT

مشروح	NOUN
این	DET
گزارش	NOUN
در	ADP
شماره	NOUN
اخیر	ADJ
مجله	NOUN
نیچر	NOUN
به	ADP
چاپ	NOUN
رسیده	VERB
است	VERB
.	PUNCT

دمشق	NOUN
،	PUNCT
واحد	NOUN
مرکزی	ADJ
خبر	NOUN

مصرف	NOUN
مداوم	ADJ
موز	NOUN
میتواند	VERB
به	ADP
مشکلات	NOUN
دستگاه	NOUN
گوارش	NOUN
و	CCONJ
برطرف	ADJ
کردن	NOUN
نفخ	NOUN
معده	NOUN
پایان	NOUN
دهد	VERB
.	PUNCT

به	ADP
گزارش	NOUN
واحد	NOUN
مرکزی	ADJ
خبر	NOUN
از	ADP
دمشق	NOUN
،	PUNCT
روزنامه	NOUN
تشرین	NOUN
نوشت	VERB
:	PUNCT
تحقیقات	NOUN
پزشکی	ADJ
نشان	NOUN
داده	VERB
است	VERB
اعتقادات	NOUN
شایع	ADJ
درباره	ADP
کالری	NOUN
زیاد	ADJ
موجود	ADJ
در	ADP
میوه	NOUN
موز	NOUN
و	CCONJ
نقش	NOUN
این	DET
میوه	NOUN
در	ADP
احساس	NOUN
سیری	NOUN
،	PUNCT
بیاساس	ADJ
است	AUX
.	PUNCT

این	DET
روزنامه	NOUN
مینویسد	VERB
،	PUNCT
هر	DET
یکصد	NUM
گرم	NOUN
موز	NOUN
۱۰۲	NOUN
کالری	NOUN
یعنی	SCONJ
۲۰	NOUN
کالری	NOUN
بیشتر	ADJ
از	ADP
یک	NUM
استکان	NOUN
ماست	NOUN
انرژی	NOUN
به	ADP
بدن	NOUN
میدهد	VERB
و	CCONJ
در	ADP
عوض	NOUN
موز	NOUN
میتواند	VERB
بسیاری	ADJ
از	ADP
مشکلات	NOUN
گوارشی	ADJ
را	PART
مانند	ADV
نفخ	NOUN
معده	NOUN
درمان	NOUN
کند	VERB
.	PUNCT

بیماران	NOUN
مبتلا	ADJ
به	ADP
آسم	NOUN
باید	AUX
از	ADP
بالشهای	NOUN
پر	NOUN
استفاده	NOUN
کنند	VERB
.	PUNCT

تهران	NOUN
-	PUNCT
واحد	NOUN
مرکزی	ADJ
خبر	NOUN

استفاده	NOUN
از	ADP
بالشهای	NOUN
پر	NOUN
برای	ADP
بیماران	NOUN
مبتلا	ADJ
به	ADP
آسم	NOUN
،	PUNCT
مناسبتر	ADJ
از	ADP
بالشهای	NOUN
ساختهشده	ADJ
از	ADP
الیاف	NOUN
مصنوعی	ADJ
است	AUX
.	PUNCT

به	ADP
گزارش	NOUN
اینترنت	NOUN
از	ADP
لندن	NOUN
،	PUNCT
پژوهشگران	NOUN
یکی	NUM
از	ADP
بیمارستانهای	NOUN
منچستر	NOUN
میگویند	VERB
:	PUNCT
مواد	NOUN
حساسیتزای	ADJ
موجود	ADJ
در	ADP
الیاف	NOUN
مصنوعی	ADJ
حدود	NOUN
۷	NOUN
تا	ADP
۸	NOUN
برابر	NOUN
مواد	NOUN
حساسیتزای	ADJ
پر	NOUN
است	AUX
.	PUNCT

پژوهشگران	NOUN
با	ADP
بررسی	NOUN
و	CCONJ
مقایسه	NOUN
۱۴	NOUN
نوع	NOUN
مختلف	ADJ
از	ADP
بالشهای	NOUN
محتوی	NOUN
الیاف	NOUN
مصنوعی	ADJ
و	CCONJ
پر	NOUN
به	ADP
این	DET
نتیجه	NOUN
رسیدهاند	VERB
که	SCONJ
پوشش	NOUN
بسیار	ADV
منسجم	ADJ
اطراف	NOUN
بالشهای	NOUN
پر	NOUN
که	SCONJ
برای	ADP
جلوگیری	NOUN
از	ADP
خارج	NOUN
شدن	NOUN
پرها	NOUN
استفاده	NOUN
میشود	AUX
،	PUNCT
از	ADP
خروج	NOUN
مواد	NOUN
حساسیتزا	ADJ
از	ADP
درون	NOUN
این	DET
بالشها	NOUN
نیز	SCONJ
جلوگیری	NOUN
میکند	VERB
.	PUNCT

به	ADP
گفته	NOUN
پژوهشگران	NOUN
،	PUNCT
نیمی	NOUN
از	ADP
موارد	NOUN
جدید	ADJ
بیماری	NOUN
آسم	NOUN
احتمالا	ADV
بر	ADP
اثر	NOUN
استفاده	NOUN
از	ADP
بالشهای	NOUN
محتوی	NOUN
الیاف	NOUN
مصنوعی	ADJ
ایجاد	NOUN
شده	AUX
است	VERB
.	PUNCT

مسعود	NOUN
شجاعی	NOUN
طباطبایی	NOUN

دنیای	NOUN
آدولف	NOUN
بورن	NOUN
دنیای	NOUN
اتفاقات	NOUN
رویایی	ADJ
است	AUX
.	PUNCT

برای	ADP
این	DET
که	CCONJ
بتوانیم	VERB
آثار	NOUN
زیبای	ADJ
این	DET
هنرمند	NOUN
را	PART
درک	NOUN
کنیم	VERB
و	CCONJ
از	ADP
آنها	PRON
لذت	NOUN
ببریم	VERB
،	PUNCT
باید	AUX
ذهن	NOUN
خود	PRON
را	PART
پذیرای	ADJ
چیزهای	NOUN
غیرعادی	ADJ
و	CCONJ
شیوههای	NOUN
نامالوف	ADJ
کنیم	VERB
.	PUNCT

بورن	NOUN
هنرمندی	NOUN
است	AUX
که	SCONJ
دنیای	NOUN
واقعیت	NOUN
را	PART
با	ADP
تخیل	NOUN
و	CCONJ
رویا	NOUN
پیوند	NOUN
میزند	VERB
.	PUNCT

نقشهای	NOUN
خاص	ADJ
او	PRON
،	PUNCT
تأثیری	NOUN
از	ADP
شکلهای	NOUN
قدیمی	ADJ
،	PUNCT
سنتی	ADJ
و	CCONJ
واکنشی	NOUN
به	ADP
این	DET
پدیدهها	NOUN
است	AUX
.	PUNCT

آدولف	NOUN
بورن	NOUN
،	PUNCT
طراح	NOUN
،	PUNCT
کاریکاتوریست	NOUN
،	PUNCT
تصویرساز	NOUN
و	CCONJ
نقاش	NOUN
در	ADP
۱۹۳۰	NOUN
در	ADP
شهر	NOUN
بودجویس	NOUN
از	ADP
جمهوری	NOUN
چک	NOUN
به	ADP
دنیا	NOUN
آمد	VERB
.	PUNCT

در	ADP
اولین	ADJ
سالهای	NOUN
زندگیاش	NOUN
به	ADP
دلیل	NOUN
وضعیت	NOUN
اقتصادی	ADJ
مجبور	ADJ
به	ADP
ترک	NOUN
خانوادهاش	NOUN
